"cod_elettorale","cod_istat","cod_catastale","desc_comune","cod_comune","desc_provincia","cod_provincia","desc_regione","cod_regione","ele_f","ele_m","ele_t","vot_f","vot_m","vot_t","perc","perc_r","data","ora","comunicazione"
180670730,"080073","H959","San Lorenzo","0730","Reggio Calabria","067","Calabria","18",905,840,1745,0,0,139,7.97,7.15,"2025-05-25","12:00",1
180670730,"080073","H959","San Lorenzo","0730","Reggio Calabria","067","Calabria","18",905,840,1745,0,0,492,28.19,23.04,"2025-05-25","19:00",2
180670730,"080073","H959","San Lorenzo","0730","Reggio Calabria","067","Calabria","18",905,840,1745,0,0,686,39.31,37.89,"2025-05-25","23:00",3
180670730,"080073","H959","San Lorenzo","0730","Reggio Calabria","067","Calabria","18",905,840,1745,448,456,904,51.81,37.89,"2025-05-26","15:00",4
180670850,"080085","I537","Scilla","0850","Reggio Calabria","067","Calabria","18",2690,2712,5402,0,0,663,12.27,9.81,"2025-05-25","12:00",1
180670850,"080085","I537","Scilla","0850","Reggio Calabria","067","Calabria","18",2690,2712,5402,0,0,1833,33.93,28.65,"2025-05-25","19:00",2
180670850,"080085","I537","Scilla","0850","Reggio Calabria","067","Calabria","18",2690,2712,5402,0,0,2356,43.61,41.51,"2025-05-25","23:00",3
180670850,"080085","I537","Scilla","0850","Reggio Calabria","067","Calabria","18",2690,2712,5402,1485,1453,2938,54.39,53.61,"2025-05-26","15:00",4
181030410,"102041","I884","Spadola","0410","Vibo Valentia","103","Calabria","18",455,461,916,0,0,142,15.5,16.52,"2025-05-25","12:00",1
181030410,"102041","I884","Spadola","0410","Vibo Valentia","103","Calabria","18",455,461,916,0,0,418,45.63,46.59,"2025-05-25","19:00",2
181030410,"102041","I884","Spadola","0410","Vibo Valentia","103","Calabria","18",455,461,916,0,0,543,59.28,64.87,"2025-05-25","23:00",3
181030410,"102041","I884","Spadola","0410","Vibo Valentia","103","Calabria","18",455,461,916,301,331,632,69,64.87,"2025-05-26","15:00",4
150080280,"064028","C659","Chiusano Di San Domenico","0280","Avellino","008","Campania","15",1367,1284,2651,0,0,425,16.03,17.62,"2025-05-25","12:00",1
150080280,"064028","C659","Chiusano Di San Domenico","0280","Avellino","008","Campania","15",1367,1284,2651,0,0,1123,42.36,29.42,"2025-05-25","19:00",2
150080280,"064028","C659","Chiusano Di San Domenico","0280","Avellino","008","Campania","15",1367,1284,2651,0,0,1390,52.43,49.51,"2025-05-25","23:00",3
